crystal.client.ProjectPreferencesTest.testRemoveDataSource,crystal.client.ProjectPreferencesTest.testProjectPreferences
crystal.model.DataSourceTest.testIsHidden,crystal.model.DataSourceTest.testSetField
crystal.model.DataSourceTest.testSetCloneString,crystal.model.DataSourceTest.testSetField
crystal.model.DataSourceTest.testSetCompileCommand,crystal.model.DataSourceTest.testSetField
crystal.model.DataSourceTest.testSetEnabled,crystal.model.DataSourceTest.testSetField
crystal.model.DataSourceTest.testSetHistory,crystal.model.DataSourceTest.testSetField
crystal.model.DataSourceTest.testSetKind,crystal.model.DataSourceTest.testSetField
crystal.model.DataSourceTest.testSetParent,crystal.model.DataSourceTest.testSetField
crystal.model.DataSourceTest.testSetRemoteCmd,crystal.model.DataSourceTest.testSetField
crystal.model.DataSourceTest.testToString,crystal.model.DataSourceTest.testSetCloneString
crystal.model.DataSourceTest.testToString,crystal.model.DataSourceTest.testSetField
crystal.model.DataSourceTest.testToString,crystal.model.DataSourceTest.testSetKind
crystal.model.LocalStateResultTest.testGetLastAction,crystal.model.LocalStateResultTest.testToString
